timestamp,instance_id,S,K,J_sk,T,unavailable_prob,observations_possible,downlinks_possible,unavailable_slots,pop_size,n_generations,tp_ga_status,tp_ga_objective,tp_ga_total_observations,tp_ga_total_downlinks,tp_ga_data_downlinked_gb,tp_ga_runtime_minutes,tp_ga_propellant_used,tp_ga_generations_completed,tp_ga_final_population_size,tp_ga_figure_of_merit
20260129_184229,1,8,5,20,1728,0.1,20812,14039,15,50,30,completed,2905.0,1281,812,79.296875,1.9183258652687072,4.6,30,50,1514.3412558809896
20260129_184446,2,8,6,20,1728,0.1,25366,16620,19,50,30,completed,3455.0,1645,905,88.37890625,2.2782607833544413,4.360000000000001,30,50,1516.507690973359
20260129_184651,3,9,5,20,1728,0.1,20921,14060,14,50,30,completed,2886.0,1350,768,75.0,2.075353133678436,5.26,30,50,1390.6067132222179
20260129_184918,4,9,6,20,1728,0.1,25495,16505,15,50,30,completed,3486.0,1562,962,93.9453125,2.4351795236269633,6.179999999999998,30,50,1431.5166361155755
20260129_185136,5,12,5,20,1728,0.1,21077,13607,22,50,30,completed,2778.0,1172,803,78.41796875,2.2930214603741965,7.259999999999998,30,50,1211.501962806166
20260129_185423,6,12,6,20,1728,0.1,25081,16648,19,50,30,completed,3337.0,1455,941,91.89453125,2.7623603026072185,9.859999999999998,30,50,1208.024889747516
20260129_190502,7,8,5,20,1728,0.0,20898,13870,0,50,30,completed,2975.0,1455,760,74.21875,2.2890478650728863,3.920000000000001,30,50,1299.6670123825795
20260129_190743,8,8,6,20,1728,0.0,25348,16779,0,50,30,completed,3515.0,1617,949,92.67578125,2.6715359052022296,5.800000000000001,30,50,1315.7225374195082
20260129_190959,9,9,5,20,1728,0.0,21058,13978,0,50,30,completed,3036.0,1392,822,80.2734375,2.25988206466039,4.660000000000001,30,50,1343.4329372653538
20260129_191249,10,9,6,20,1728,0.0,25358,16636,0,50,30,completed,3496.0,1594,951,92.87109375,2.8246056914329527,6.279999999999998,30,50,1237.6948791838063
20260129_191525,11,12,5,20,1728,0.0,20829,13720,0,50,30,completed,2903.0,1355,774,75.5859375,2.5918418526649476,7.539999999999997,30,50,1120.0529063974786
20260129_191829,12,12,6,20,1728,0.0,25067,16561,0,50,30,completed,3520.0,1554,983,95.99609375,3.0541868487993877,7.899999999999997,30,50,1152.5162585857263
20260129_192014,13,8,5,20,1728,0.2,20939,13836,29,50,30,completed,2832.0,1226,803,78.41796875,1.7405164082845053,6.66,30,50,1627.1033048124418
20260129_192225,14,8,6,20,1728,0.2,25220,16448,34,50,30,completed,3342.0,1612,865,84.47265625,2.165281371275584,5.619999999999997,30,50,1543.448368574474
20260129_192425,15,9,5,20,1728,0.2,20874,13824,28,50,30,completed,2764.0,1218,773,75.48828125,2.0050464312235516,5.48,30,50,1378.5216925442007
20260129_192647,16,9,6,20,1728,0.2,25147,16430,38,50,30,completed,3201.0,1449,876,85.546875,2.3415729840596518,8.359999999999998,30,50,1367.0297794648857
20260129_192902,17,12,5,20,1728,0.2,20940,13759,47,50,30,completed,2673.0,1155,759,74.12109375,2.247094293435415,9.66,30,50,1189.5361969494613
20260129_193146,18,12,6,20,1728,0.2,24976,16481,42,50,30,completed,3238.0,1400,919,89.74609375,2.725028880437215,10.779999999999996,30,50,1188.244287334115
20260129_193334,19,8,5,20,1728,0.5,20815,13692,81,50,30,completed,2679.0,1247,716,69.921875,1.7887300888697306,6.28,30,50,1497.7105918159048
20260129_193545,20,8,6,20,1728,0.5,25407,16602,74,50,30,completed,3262.0,1400,931,90.91796875,2.164334026972453,7.899999999999998,30,50,1507.1610755771378
20260129_193736,21,9,5,20,1728,0.5,20823,13940,69,50,30,completed,2736.0,1218,759,74.12109375,1.8447259028752645,8.019999999999998,30,50,1483.1471687666767
20260129_193956,22,9,6,20,1728,0.5,24983,16573,94,50,30,completed,3143.0,1407,868,84.765625,2.3293024698893228,9.54,30,50,1349.3309866920547
20260129_194207,23,12,5,20,1728,0.5,20881,13931,112,50,30,completed,2561.0,1099,731,71.38671875,2.177931908766429,9.28,30,50,1175.8861650778326
20260129_194451,24,12,6,20,1728,0.5,25355,16592,104,50,30,completed,3213.0,1283,965,94.23828125,2.7208109855651856,12.040000000000003,30,50,1180.897907662841
20260129_194645,25,8,5,20,1728,0.8,20990,13806,119,50,30,completed,2402.0,934,734,71.6796875,1.8869858225186666,6.759999999999998,30,50,1272.9295426257706
20260129_194900,26,8,6,20,1728,0.8,25372,16496,118,50,30,completed,2731.0,1047,842,82.2265625,2.2372172554334004,7.820000000000003,30,50,1220.71291617628
20260129_195052,27,9,5,20,1728,0.8,20733,13803,128,50,30,completed,2462.0,992,735,71.77734375,1.856462335586548,8.799999999999997,30,50,1326.1782654061403
20260129_195307,28,9,6,20,1728,0.8,25266,16710,141,50,30,completed,2813.0,1077,868,84.765625,2.244066393375397,8.499999999999998,30,50,1253.5279741740821
20260129_195519,29,12,5,20,1728,0.8,20978,13953,182,50,30,completed,2351.0,889,731,71.38671875,2.185360300540924,8.799999999999997,30,50,1075.795144360441
20260129_195757,30,12,6,20,1728,0.8,24929,16525,185,50,30,completed,2802.0,1084,859,83.88671875,2.619901390870412,12.159999999999998,30,50,1069.505901925984
20260129_195945,31,8,5,20,1728,1.0,20928,13727,152,50,30,completed,1173.0,391,391,38.18359375,1.7985663612683613,0.0,30,50,652.1861107047462
20260129_200155,32,8,6,20,1728,1.0,25062,16612,152,50,30,completed,1425.0,479,473,46.19140625,2.144428559144338,0.0,30,50,664.5126945001135
20260129_200347,33,9,5,20,1728,1.0,21086,13883,171,50,30,completed,1230.0,410,410,40.0390625,1.8622925957043965,0.0,30,50,660.4762338835176
20260129_200604,34,9,6,20,1728,1.0,25156,16538,171,50,30,completed,1403.0,471,466,45.5078125,2.278875450293223,0.0,30,50,615.654532510531
20260129_200821,35,12,5,20,1728,1.0,20957,13914,228,50,30,completed,1157.0,385,386,37.6953125,2.2696468512217205,0.0,30,50,509.7709361159876
20260129_201103,36,12,6,20,1728,1.0,25253,16631,228,50,30,completed,1568.0,518,525,51.26953125,2.688681983947754,0.0,30,50,583.1853708848555
